repository_name,age,number_of_commits,number_of_authors,number_of_java_files,version
xstream,234.866667,2878,41,639,HAS_RECORDS
cats,37.066667,1023,9,504,HAS_RECORDS
fess,116.333333,4232,43,1153,AFTER_JAVA16
ejml,163.600000,1081,23,814,AFTER_JAVA16
blog-tutorials,56.600000,987,7,786,HAS_RECORDS
spring-data-commons,155.666667,2759,149,936,HAS_RECORDS
No-Chat-Reports,11.133333,705,50,86,AFTER_JAVA16
spark,119.266667,413,30,218,HAS_RECORDS
Chunky,34.533333,456,17,158,HAS_RECORDS
hellokoding-courses,39.700000,323,1,536,HAS_RECORDS
geckolib,36.233333,697,26,510,HAS_RECORDS
SapMachine,185.833333,135387,1834,49112,HAS_RECORDS
BoofCV,145.400000,5307,20,4483,AFTER_JAVA16
bnd,190.933333,15851,121,3183,HAS_RECORDS
JetBrainsRuntime,185.966667,74920,1299,49432,HAS_RECORDS
activej,35.966667,1671,13,1877,HAS_RECORDS
jenetics,181.266667,11917,15,728,HAS_RECORDS
FastAsyncWorldEdit,152.100000,6250,177,1586,HAS_RECORDS
frostwire,90.933333,7496,35,1346,AFTER_JAVA16
slice,120.466667,315,30,57,HAS_RECORDS
service-proxy,163.333333,3380,44,1128,HAS_RECORDS
js-graphql-intellij-plugin,88.900000,843,27,854,AFTER_JAVA16
sts4,81.066667,5004,30,2621,HAS_RECORDS
Sketchware-Pro,25.900000,3291,35,2742,AFTER_JAVA16
Bytecoder,73.433333,1374,16,7789,HAS_RECORDS
sejda,156.000000,2552,8,580,HAS_RECORDS
redis-om-spring,19.033333,327,18,509,HAS_RECORDS
stroom,78.933333,14965,15,5722,HAS_RECORDS
selenium-java-lean-test-architecture,57.966667,349,8,20,HAS_RECORDS
KeenWrite,94.100000,1309,7,256,HAS_RECORDS
Springy-Store-Microservices,35.500000,221,5,86,HAS_RECORDS
MCreator,32.900000,3707,44,855,HAS_RECORDS
equalsverifier,168.000000,2815,35,364,HAS_RECORDS
spring-data-neo4j,99.033333,1882,45,727,HAS_RECORDS
LiveLessons,103.233333,1532,14,27884,HAS_RECORDS
odd-platform,22.566667,702,33,775,HAS_RECORDS
oraxen,45.333333,2333,57,281,HAS_RECORDS
DrivenByMoss,72.933333,847,16,1287,HAS_RECORDS
hilla,199.666667,642,35,630,HAS_RECORDS
sirix,131.666667,3285,65,1183,HAS_RECORDS
master-spring-and-spring-boot,3.133333,103,4,170,HAS_RECORDS
CraftBook,149.100000,4757,82,387,AFTER_JAVA16
exist,244.333333,23769,121,2548,AFTER_JAVA16
Whatsapp4j,29.066667,863,11,483,HAS_RECORDS
Sponge,97.400000,8211,150,3083,AFTER_JAVA16
cloud-native-spring-in-action,32.700000,107,1,1291,HAS_RECORDS
incubator-baremaps,52.766667,1365,23,367,HAS_RECORDS
cloudbreak,108.666667,22714,260,13558,HAS_RECORDS
CodeKatas,67.166667,261,14,171,HAS_RECORDS
fx2048,109.833333,271,9,14,HAS_RECORDS
MCXR,24.233333,203,16,96,AFTER_JAVA16
ImmersivePortalsMod,46.933333,2614,29,457,HAS_RECORDS
dhis2-core,81.033333,10788,107,5659,HAS_RECORDS
RoughlyEnoughItems,53.300000,2000,29,539,HAS_RECORDS
kcctl,18.633333,294,23,92,HAS_RECORDS
