interface_type, frequency
org.w3c.dom.DOMStringList, 7
java.security.cert.Extension, 7
java.security.interfaces.RSAPublicKey, 7
javax.swing.event.RowSorterListener, 7
org.w3c.dom.ls.LSSerializer, 7
java.lang.management.MemoryManagerMXBean, 7
java.util.NavigableSet, 7
javax.print.CancelablePrintJob, 7
javax.lang.model.type.TypeVisitor, 6
javax.accessibility.AccessibleIcon, 6
java.security.KeyStore.Entry, 6
javax.naming.spi.DirObjectFactory, 6
java.util.random.RandomGenerator.SplittableGenerator, 6
java.util.function.ToLongFunction, 6
javax.sound.sampled.DataLine, 6
java.net.http.HttpResponse.PushPromiseHandler, 6
javax.naming.ldap.HasControls, 6
java.util.concurrent.RunnableScheduledFuture, 6
java.lang.reflect.Member, 6
java.awt.print.PrinterGraphics, 6
java.awt.im.InputMethodRequests, 6
java.security.interfaces.ECPrivateKey, 6
javax.xml.stream.XMLEventWriter, 6
java.nio.channels.CompletionHandler, 6
javax.xml.stream.EventFilter, 6
com.sun.source.tree.TreeVisitor, 6
javax.accessibility.AccessibleEditableText, 6
javax.lang.model.element.ModuleElement.DirectiveVisitor, 6
java.security.interfaces.DSAParams, 6
java.awt.KeyEventPostProcessor, 6
java.rmi.registry.Registry, 6
java.net.http.HttpResponse, 6
javax.lang.model.element.AnnotationValueVisitor, 6
java.time.temporal.TemporalUnit, 6
java.nio.file.attribute.PosixFileAttributeView, 6
org.w3c.dom.CDATASection, 6
javax.swing.text.AttributeSet, 6
javax.accessibility.AccessibleKeyBinding, 6
java.util.Formattable, 6
javax.sound.midi.MidiDeviceTransmitter, 6
java.util.Deque, 6
javax.management.NotificationBroadcaster, 6
java.util.logging.Filter, 6
java.util.function.IntSupplier, 6
java.util.concurrent.RunnableFuture, 6
javax.naming.Name, 6
com.sun.jdi.connect.Connector.StringArgument, 6
javax.sound.sampled.Clip, 6
javax.sound.sampled.Mixer, 6
javax.imageio.event.IIOReadWarningListener, 6
javax.swing.event.DocumentEvent, 6
javax.management.QueryExp, 6
javax.sound.midi.MidiChannel, 6
java.security.interfaces.ECPublicKey, 6
java.net.ContentHandlerFactory, 6
java.nio.file.attribute.PosixFileAttributes, 5
java.lang.reflect.TypeVariable, 5
java.nio.file.attribute.BasicFileAttributes, 5
org.w3c.dom.DocumentType, 5
javax.sound.sampled.Line, 5
java.security.interfaces.DSAPublicKey, 5
java.security.interfaces.RSAPrivateKey, 5
javax.security.auth.login.Configuration.Parameters, 5
javax.swing.Action, 5
javax.management.openmbean.CompositeData, 5
java.awt.im.spi.InputMethod, 5
java.util.concurrent.ConcurrentMap, 5
java.time.chrono.ChronoLocalDate, 5
sun.misc.SignalHandler, 5
java.nio.file.attribute.GroupPrincipal, 5
javax.swing.Painter, 5
javax.xml.transform.Templates, 5
java.lang.reflect.Type, 5
java.security.interfaces.RSAPrivateCrtKey, 5
javax.swing.event.MenuDragMouseListener, 5
java.nio.file.attribute.UserPrincipal, 5
java.net.http.WebSocket.Listener, 5
java.lang.management.ClassLoadingMXBean, 5
javax.swing.UIClientPropertyKey, 5
java.awt.image.MultiResolutionImage, 5
java.lang.management.CompilationMXBean, 5
java.nio.file.attribute.DosFileAttributeView, 5
java.lang.management.RuntimeMXBean, 5
java.lang.management.MemoryPoolMXBean, 5
java.lang.management.MemoryMXBean, 5
java.security.interfaces.DSAPrivateKey, 5
java.nio.channels.ReadableByteChannel, 5
java.util.spi.ResourceBundleProvider, 5
javax.tools.Diagnostic, 5
java.lang.management.GarbageCollectorMXBean, 5
java.lang.management.ThreadMXBean, 5
java.util.function.IntUnaryOperator, 4
com.sun.management.ThreadMXBean, 4
java.nio.channels.Channel, 4
java.beans.Customizer, 4
org.w3c.dom.events.Event, 4
javax.annotation.processing.RoundEnvironment, 4
org.w3c.dom.Notation, 4
javax.sql.rowset.JoinRowSet, 4
org.w3c.dom.events.MutationEvent, 4
java.net.http.HttpResponse.ResponseInfo, 4
org.w3c.dom.DOMImplementationList, 4
javax.management.remote.JMXConnectorServerProvider, 4
javax.xml.xpath.XPathFunction, 4
java.lang.reflect.AnnotatedType, 4
com.sun.jdi.connect.Connector, 4
java.lang.Error, 4
javax.swing.JComboBox.KeySelectionManager, 4
java.lang.reflect.AnnotatedTypeVariable, 4
javax.sql.rowset.JdbcRowSet, 4
java.util.SortedMap, 4
java.beans.beancontext.BeanContextServiceProvider, 4
com.sun.jdi.connect.Connector.Argument, 4
org.xml.sax.XMLFilter, 4
org.w3c.dom.events.DocumentEvent, 4
java.nio.file.WatchService, 4
jdk.jfr.consumer.EventStream, 4
javax.sql.rowset.FilteredRowSet, 4
java.sql.Struct, 4
java.net.SocketImplFactory, 4
com.sun.jdi.connect.Connector.SelectedArgument, 4
org.w3c.dom.ranges.Range, 4
java.sql.Clob, 4
org.w3c.dom.events.EventTarget, 4
javax.management.MBeanServer, 4
javax.lang.model.type.ExecutableType, 4
javax.sql.rowset.Predicate, 4
java.io.ObjectStreamConstants, 4
jdk.dynalink.linker.GuardingTypeConverterFactory, 4
java.lang.StackWalker.StackFrame, 4
com.sun.jdi.ReferenceType, 4
javax.lang.model.type.ErrorType, 4
javax.xml.crypto.NodeSetData, 4
